Name,Address,Location,Country,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices
Belon,"1F, 1-5 Elgin Street, Hong Kong",,Hong Kong,$$$$,French,114.1525511,22.2830193,+85221522872,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/belon-1197395,https://belonsoho.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Counter dining,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
Fu Ho,"Shop 402, 4F, FoodLoft, Mira Place One, 132 Nathan Road, Hong Kong",,Hong Kong,$$$,Cantonese,114.1720828,22.3006247,+85227362228,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/fu-ho-tsim-sha-tsui,https://www.fuho.com.hk/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
Aaharn,"1F, Block 2, Tai Kwun, 10 Hollywood Road, Hong Kong",,Hong Kong,$$,Thai,114.1538558,22.2816498,+85227039111,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/aaharn,https://www.aaharn.hk/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card"
Gaddi's,"1F, The Peninsula Hotel, Salisbury Road, Hong Kong",,Hong Kong,$$$$,French,114.17179,22.294992,+85226966763,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/gaddi-s,https://www.peninsula.com/en/hong-kong/5-star-luxury-hotel-kowloon,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access"
Hansik Goo,"1F, The Wellington, 198 Wellington Street, Hong Kong",,Hong Kong,$$$,Korean,114.1528913,22.2850215,+85227988768,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/hansik-goo-1198262,http://www.hansikgoo.hk,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
The Araki,"GF, Stable Block, FWD House 1881, 2A Canton Road, Hong Kong",,Hong Kong,$$$$,Sushi,114.1697935,22.2957587,+85239880168,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/the-araki-1191575,http://www.fwdhouse1881.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Counter dining,Credit card / Debit card accepted,JCB,Maestro,Mastercard credit card,Visa credit card"
Yat Tung Heen,"B2F, Eaton Hotel, 380 Nathan Road, Hong Kong",,Hong Kong,$$,Cantonese,114.1717998,22.3080802,+85227101093,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/yat-tung-heen-jordan,https://www.yattungheen.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
Zuicho,"GF, The Mercer Central, 29 Jervois Street, Hong Kong",,Hong Kong,$$$$,Japanese,114.1521406,22.2850591,+85221561883,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/zuicho,https://zuicho-kappo.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,China UnionPay,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
Duddell's,"3F, Shanghai Tang Mansion, 1 Duddell Street, Hong Kong",,Hong Kong,$$$,Cantonese,114.1572052,22.2801227,+85225259191,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/duddell-s,https://www.duddells.co/home/en/,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Brunch,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
Suan Thip,"17/9 Mu 7, Sukhaprachasan 2 Road, Bang Pud, Nonthaburi, 11120, Thailand",Nonthaburi,Thailand,฿฿,Thai,100.502144,13.926962,+66823669696,https://guide.michelin.com/en/nonthaburi-region/nonthaburi/restaurant/suan-thip,https://www.suanthip.com,1 MICHELIN Star,"Air conditioning,Car park,Credit card / Debit card accepted,Great view,JCB,Mastercard credit card,Terrace,Visa credit card,Wheelchair access"
Methavalai Sorndaeng,"78/2 Ratchadamnoen Klang Road, Bowon Niwet, Bangkok, 10200, Thailand",Bangkok,Thailand,฿฿,Thai,100.502045,13.756321,+6622243088,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/methavalai-sorndaeng,,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access"
Saawaan,"39/19 Soi Suan Phlu, Sathon Road, Thung Mahamek, Bangkok, 10120, Thailand",Bangkok,Thailand,฿฿฿,Thai contemporary,100.53741,13.721809,+6626793775,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/saawaan,https://www.saawaan.com,1 MICHELIN Star,"Air conditioning,Booking essential,Car park,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card"
Blue by Alain Ducasse,"299 Soi Charoen Nakhon 5, Charoen Nakhon Road, Khlong Ton Sai, Bangkok, 10600, Thailand",Bangkok,Thailand,฿฿฿฿,French Contemporary,100.5105619,13.7265916,+6620059412,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/blue-by-alain-ducasse,https://www.blue-alainducasse.com,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,Great view,JCB,Maestro,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access"
Ginza Sushi Ichi,"999 Phloen Chit Road, Lumphini, Bangkok, 10330, Thailand",Bangkok,Thailand,฿฿฿฿,Sushi,100.5406345,13.7449423,+6622500014,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/ginza-sushi-ichi,http://www.ginza-sushiichi.jp,1 MICHELIN Star,"Air conditioning,Booking essential,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Terrace,Valet parking,Visa credit card,Wheelchair access"
Paste,"999 Phloen Chit Road, Lumphini, Bangkok, 10330, Thailand",Bangkok,Thailand,฿฿฿,Thai,100.5405551,13.7451823,+6626561003,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/paste,https://www.pastebangkok.com,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Particularly interesting wine list,Valet parking,Visa credit card,Wheelchair access"
Nahm,"27 Sathon Tai Road, Thung Mahamek, Bangkok, 10120, Thailand",Bangkok,Thailand,฿฿฿,Thai,100.5389536,13.7231647,+6626253388,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/nahm,https://www.comohotels.com/metropolitanbangkok,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,Counter dining,Credit card / Debit card accepted,JCB,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access"
Sra Bua by Kiin Kiin,"991/9 Rama 1 Road, Pathumwan, Bangkok, 10330, Thailand",Bangkok,Thailand,฿฿฿,Thai contemporary,100.5351564,13.7481802,+6621629000,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/sra-bua-by-kiin-kiin,https://www.kempinski.com,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
Saneh Jaan,"130-132 Witthayu Road, Lumphini, Bangkok, 10330, Thailand",Bangkok,Thailand,฿฿฿,Thai,100.5457421,13.7356075,+6626509880,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/saneh-jaan,https://sanehjaan.com,1 MICHELIN Star,"Air conditioning,American Express credit card,Booking essential,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card"
J'AIME by Jean-Michel Lorain,"105/1 Soi Ngam Du Phli, Thung Mahamek, Bangkok, 10120, Thailand",Bangkok,Thailand,฿฿฿,French Contemporary,100.546326,13.718885,+6621194899,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/j-aime-by-jean-michel-lorain,https://jaime-bangkok.com,1 MICHELIN Star,"Air conditioning,Car park,China UnionPay,Credit card / Debit card accepted,Diners Club credit card,JCB,Maestro,Mastercard credit card,Terrace,Valet parking,Visa credit card,Wheelchair access"
